G,P,N,A
0,379,745,1504
0,379,746,1509
0,379,746,1514
0,379,750,1514
0,379,750,1519
0,379,749,1519
0,380,749,1524
0,380,747,1524
0,380,747,1529
0,380,749,1529
0,381,749,1534
0,381,751,1534
0,381,751,1539
0,381,749,1539
0,381,749,1544
0,386,746,1544
0,381,746,1549
0,381,747,1549
0,386,747,1549
0,386,750,1554
0,381,750,1554
0,381,750,1559
0,382,750,1559
0,382,747,1564
0,382,747,1564
0,382,749,1569
0,382,749,1569
0,382,750,1574
0,383,750,1579
0,383,748,1579
0,383,748,1584
0,383,746,1589
0,383,746,1589
0,383,747,1589
0,378,747,1589
0,384,750,1594
0,384,750,1594
0,385,750,1594
0,385,750,1599
0,385,748,1604
0,385,748,1604
0,385,749,1604
0,385,749,1609
0,385,750,1609
0,385,750,1609
0,385,748,1614
0,385,748,1619
0,385,746,1619
0,385,746,1624
0,385,747,1624
0,385,747,1629
0,386,750,1629
0,386,750,1634
0,386,750,1639
0,386,750,1639
0,387,747,1644
0,387,747,1644
0,387,749,1644
0,387,749,1644
0,387,750,1649
0,386,750,1649
0,386,748,1654
0,381,748,1659
0,387,746,1659
0,387,746,1664
0,382,747,1664
0,383,747,1669
0,383,750,1669
0,383,750,1674
0,389,749,1679
0,389,749,1679
0,384,747,1684
0,384,747,1684
0,389,749,1684
0,389,749,1689
0,389,750,1689
0,389,750,1689
0,385,748,1694
0,385,748,1694
0,390,745,1699
0,390,745,1699
0,391,746,1704
0,391,746,1709
0,391,750,1709
0,391,750,1714
0,392,750,1714
0,392,750,1719
0,392,748,1719
0,392,748,1724
0,391,749,1724
0,391,749,1729
0,391,751,1734
0,391,751,1739
0,392,748,1739
0,392,748,1739
0,392,746,1744
0,392,746,1744
0,393,747,1749
0,393,747,1749
0,388,750,1749
0,383,750,1754
0,388,749,1754
0,389,749,1759
0,383,747,1759
0,383,747,1759
0,388,749,1764
0,388,749,1764
0,394,751,1769
0,394,751,1769
0,394,748,1774
0,389,748,1779
0,395,745,1779
0,395,745,1779
0,395,747,1784
0,395,747,1784
0,395,750,1789
0,395,750,1789
0,395,750,1794
0,395,750,1794
0,395,748,1794
0,395,748,1799
0,395,749,1799
0,395,749,1804
0,396,750,1809
0,396,750,1804
0,396,748,1809
0,396,748,1814
0,397,745,1819
0,397,745,1824
0,397,746,1829
0,397,746,1834
0,397,749,1834
0,397,749,1834
0,397,749,1834
0,402,749,1834
0,396,746,1839
0,396,746,1844
0,397,748,1844
0,397,748,1849
0,397,749,1854
0,397,749,1854
0,398,747,1854
0,398,747,1859
0,398,745,1859
0,398,745,1859
0,398,746,1864
0,398,746,1864
0,398,749,1869
0,399,749,1874
0,399,749,1874
0,399,749,1879
0,399,746,1879
0,399,746,1884
0,400,748,1884
0,400,748,1889
0,400,749,1889
0,401,749,1894
0,401,747,1899
0,401,747,1899
0,401,745,1904
0,402,745,1904
0,402,745,1904
0,402,745,1909
0,402,749,1909
0,402,749,1909
0,402,749,1909
0,402,749,1914
0,402,747,1914
0,402,747,1919
0,402,749,1919
0,408,749,1919
0,408,750,1919
0,403,750,1924
0,403,749,1929
0,404,749,1934
0,404,745,1939
0,404,745,1949
0,404,746,1949
0,404,746,1954
0,404,748,1959
0,404,748,1964
0,404,748,1964
0,405,748,1964
0,405,746,1964
0,405,746,1964
0,405,748,1969
0,406,748,1969
0,406,748,1969
0,406,748,1969
0,406,747,1974
0,406,747,1979
0,406,745,1984
0,406,745,1984
0,406,745,1989
0,406,745,1989
0,406,748,1994
0,406,748,1994
0,406,749,1999
0,407,749,1999
0,407,747,1999
0,408,747,2004
0,408,749,2004
0,408,749,2009
0,408,750,2009
0,408,750,2014
0,408,749,2019
0,408,749,2024
0,408,746,2024
0,408,746,2024
0,408,746,2029
0,408,746,2029
0,408,748,2029
0,409,748,2034
0,409,749,2034
0,409,749,2039
0,415,747,2039
0,415,747,2044
0,415,748,2049
0,416,748,2054
0,416,749,2054
0,416,749,2059
0,416,748,2064
0,416,748,2064
0,416,745,2069
0,411,745,2069
0,411,746,2069
0,411,746,2074
0,411,749,2074
0,411,749,2074
0,412,750,2079
0,412,750,2084
0,412,748,2084
0,412,748,2089
0,412,749,2089
0,412,749,2094
0,412,751,2099
0,412,751,2099
0,412,749,2104
0,412,749,2104
0,413,746,2104
0,413,746,2109
0,413,747,2109
0,413,747,2109
0,413,749,2114
0,414,749,2114
0,414,751,2119
0,410,751,2124
0,415,748,2129
0,415,748,2129
0,415,749,2134
0,415,749,2139
0,415,751,2139
0,415,751,2139
0,415,749,2139
0,415,749,2139
0,416,746,2144
0,416,746,2144
0,416,746,2149
0,416,746,2154
0,417,749,2159
0,417,749,2164
0,417,750,2164
0,417,750,2164
0,417,747,2169
0,417,747,2169
0,417,747,2174
0,418,747,2179
0,418,748,2179
0,418,748,2184
0,418,748,2189
0,418,748,2194
0,418,744,2194
0,418,744,2194
0,423,744,2194
0,424,744,2199
0,419,747,2199
0,424,747,2204
0,419,748,2204
0,424,748,2209
0,424,745,2214
0,419,745,2214
0,419,746,2219
0,419,746,2219
0,424,748,2219
0,419,748,2224
0,419,748,2229
0,425,748,2229
0,420,745,2234
0,425,745,2239
0,426,745,2239
0,367,748,1364
0,367,748,1364
0,368,747,1369
0,368,747,1374
0,368,744,1374
0,368,744,1374
0,368,746,1379
0,368,746,1379
0,368,749,1379
0,368,749,1384
0,368,749,1389
0,369,749,1394
0,369,747,1399
0,369,747,1399
0,370,749,1399
0,370,749,1404
0,370,751,1404
0,370,751,1409
0,370,748,1414
0,370,748,1419
0,370,746,1424
0,370,746,1424
0,370,747,1424
0,370,747,1429
0,370,749,1429
0,370,749,1429
0,371,748,1429
0,371,748,1434
0,371,746,1434
0,372,746,1434
0,377,748,1434
0,377,748,1439
0,377,750,1444
0,377,750,1444
0,377,748,1449
0,372,748,1449
0,372,745,1449
0,372,745,1454
0,372,746,1459
0,372,746,1459
0,373,749,1459
0,373,749,1459
0,373,747,1464
0,373,747,1464
0,374,745,1469
0,374,745,1474
0,374,747,1479
0,374,747,1484
0,374,749,1489
0,374,749,1489
0,374,748,1489
0,374,748,1489
0,374,745,1489
0,374,745,1489
0,374,746,1494
0,379,746,1499
0,380,749,1499
0,380,749,1504
0,380,749,1504
0,376,749,1509
0,376,747,1514
0,376,747,1514
0,376,748,1519
0,376,748,1519
0,376,750,1519
0,376,750,1524
0,376,748,1524
0,376,748,1524
0,376,745,1529
0,376,745,1529
0,377,746,1534
0,377,746,1534
0,377,748,1539
0,377,748,1539
0,377,748,1539
0,378,748,1544
0,378,746,1544
0,378,746,1549
0,378,747,1549
0,378,747,1554
0,373,749,1554
0,373,749,1559
0,378,748,1564
0,378,748,1564
0,379,746,1564
0,379,746,1569
0,379,746,1569
0,379,746,1574
0,379,749,1579
0,380,749,1579
0,380,748,1579
0,380,748,1584
0,380,746,1584
0,380,746,1589
0,380,747,1594
0,380,747,1594
0,380,748,1599
0,380,748,1599
0,381,747,1604
0,381,747,1604
0,381,744,1609
0,381,744,1609
0,382,745,1609
0,387,745,1614
0,382,747,1614
0,382,747,1614
0,382,748,1619
0,382,748,1619
0,382,746,1624
0,382,746,1624
0,377,748,1624
0,377,748,1629
0,377,750,1629
0,378,750,1634
0,378,749,1639
0,383,749,1639
0,383,746,1644
0,384,746,1644
0,389,747,1644
0,384,747,1649
0,384,749,1649
0,384,749,1654
0,384,749,1659
0,385,749,1664
0,385,747,1664
0,385,747,1664
0,385,748,1669
0,385,748,1669
0,385,750,1674
0,385,750,1674
0,386,749,1679
0,386,749,1679
0,386,746,1679
0,387,746,1679
0,387,746,1684
0,387,746,1689
0,387,748,1689
0,387,748,1694
0,387,748,1694
0,387,748,1699
0,387,746,1699
0,387,746,1704
0,387,748,1709
0,388,748,1709
0,388,749,1709
